file_id,page_number,page_type,page_title,row_index,row_type,date_raw,description,amount_pounds,amount_shillings,amount_pence_whole,amount_pence_fraction,is_total_row,group_brace_id,transaction_type,num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6,confidence_score,entry_confidence,notes,desc_length
1753,1,ledger,Computus Francisci Webber Rectoris à 2do Dis Novembris 1752 ad eundem Diem revolutum 1753,35,entry,,Received of the Administratrix of Dr Edgcumbe & of hands of Mr John Edgcumbe the sum of Ninety two Pounds in full for her towards the Discharge of ye Workmen Bills unleyed by Dr Edgcumbe in the Chapple (the whole sum being 184.1.1),92.0,0.0,0,,False,,,,,,,,,1.0,model,,231
1855,3,ledger,1855. Recepta Varia,22,entry,,Mistakes in last years Act the sum having been charged for drawing on for clergys Dam. whereas a cheque was drawn on Gosling Bank for Mr. Sanders div. & now allowed by late Rector Exton,38.0,,10,,False,,,,,,,,,1.0,model,,185
1753,3,ledger,Soluta Ordinaria,33,entry,,Pd Mr. Townsend in part of his Bill of Work done in the Chapple by Order of Dr. Edgcumbe (being in all 160.12.0) as being by Agreement the Sum to be paid by his Administrators,92.0,,,,False,,,,,,,,,1.0,model,,175
1731,4,ledger,Soluta Varia,4,entry,,"Paid Mr Wentworth by Consent a gratuity for his great Care and Pains in detecting One Cooks Boy Anno 1723, who had melted down some of the College Plate",4.0,4.0,0,,False,,,,,,,,,1.0,model,,152
1738,4,ledger,July 13 Brought over,4,entry,,allowed Mr Edgemumbe his Expences to in & from London upon Lodging our papers relating to Hartshall with the Lord Chancellor absent 18 Days,7.0,7.0,00,,False,,,,,,,,,1.0,model,,139
1855,8,ledger,1855 Soluta Varia,13,entry,,Mr Walsh. Expenses on transfer to the Foley &c 2 1000 Consols from Ex'tors of late Dr. Foley see Colledge Order April 25. 1855,20.0,10.0,,,False,,,,,,,,,1.0,model,,126
1738,3,ledger,Fines solut Scholari de Insulis Guer. & Pers.,19,entry,,Dec: 9 pd mr Brooks his fee for Stamps engraving & attesting as publick Notary & Citation for ye Election of a new Rector,0.0,15.0,06,,False,,,,,,,,,1.0,model,,121
1850,6,ledger,Points Toña - Brought over,23,entry,,Property Tax on the 2nd half year ending April 1850 - The Gosford Tithes having been charged too little on preceding ½ yr,29.0,18.0,2,,False,,,,,,,,,1.0,model,,121
1731,4,ledger,Soluta Varia,6,entry,,Pd Chr Keynel for comparing Copies of certain Deeds with their Originals in relation to the Advowson of R: Nymmet Devon,1.0,1.0,0,,False,,,,,,,,,1.0,model,,119
1731,4,ledger,Soluta Varia,18,entry,,Pd Mr Atwell 2 Guineas being a Fee to Serjeant Birch for his opinion concerning the Title of Exeter Coll: to Hart Hall,2.0,2.0,0,,False,,,,,,,,,1.0,model,,118
1855,3,ledger,1855. Recepta Varia,21,entry,,Repayment to Domus from Library Act for Work done in preparing a plan for Books during the rebuilding of the Library,42.0,12.0,6,,False,,,,,,,,,1.0,model,,116
1819,2,ledger,1819. Soluta Varia.,3,entry,,"One Thousand Pounds laid out in Stock for the Library Fund, by order of the Rector & five Seniors, last acc't Day",1000.0,0.0,0,,False,,,,,,,,,1.0,model,,113
1855,3,ledger,1855. Recepta Varia,20,entry,,Div. Consols on 1000 transferred to Colby by late Rector Exton as Exton of Dr. Jones see Col Res later April 1855,,14.0,,,False,,,,,,,,,1.0,model,,113
1725,5,ledger,Soluta baria,38,entry,,"P. Mr Arland folio Court his eight pound agen, on his giving a plate of ten pounds fifteen shillings & six pence",8.0,0.0,0,,False,,,,,,,,,1.0,model,,112
1738,3,ledger,Fines solut Scholari de Insulis Guer. & Pers.,36,entry,,Apr: 9 pd Mr Copeland 2 years stipend due to mr Andrew on account of his having been appointed Travelling Fellow,13.0,6.0,08,,False,,,,,,,,,1.0,model,,112
